[2026-03-19 07:49:09] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX65OWD-KZA263","method":"GET","path":"api/v1/outlet","status":200,"duration_ms":104,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:49:11] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX65PM7-RE62B6","method":"GET","path":"api/v1/categories","status":200,"duration_ms":153,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:49:11] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX65PM7-AQD21R","method":"GET","path":"api/v1/products","status":200,"duration_ms":337,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:49:12] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX65PM7-2C40J5","method":"GET","path":"api/v1/pos/discounts","status":200,"duration_ms":117,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:49:12] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX65PM7-N19P2R","method":"GET","path":"api/v1/payment-methods","status":200,"duration_ms":122,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:49:12] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX65PM7-RYEQQZ","method":"GET","path":"api/v1/taxes/default","status":200,"duration_ms":62,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:49:20] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX65XOY-N87KEE","method":"GET","path":"api/v1/outlet","status":200,"duration_ms":103,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:49:22] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX65YF9-K07NAB","method":"GET","path":"api/v1/categories","status":200,"duration_ms":134,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:49:23] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX65YF9-HA9QA6","method":"GET","path":"api/v1/products","status":200,"duration_ms":322,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:49:23] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX65YF9-MFXEHW","method":"GET","path":"api/v1/pos/discounts","status":200,"duration_ms":116,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:49:23] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX65YF9-JXY1HJ","method":"GET","path":"api/v1/payment-methods","status":200,"duration_ms":136,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:49:24] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX65YF9-AXM2ES","method":"GET","path":"api/v1/taxes/default","status":200,"duration_ms":90,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:49:25] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX661HW-6S1P17","method":"GET","path":"api/v1/sales","status":200,"duration_ms":142,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:49:30] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX664YU-61DJ63","method":"GET","path":"api/v1/reports/cashier-report/cashiers","status":200,"duration_ms":116,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:49:33] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX667EC-T40C3E","method":"GET","path":"api/v1/reports/cashier-report","status":200,"duration_ms":119,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:49:35] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX669BP-0RHAVE","method":"GET","path":"api/v1/outlet","status":200,"duration_ms":83,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:49:37] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX669YP-BPJ8EF","method":"GET","path":"api/v1/categories","status":200,"duration_ms":124,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:49:37] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX669YP-YNEBXR","method":"GET","path":"api/v1/products","status":200,"duration_ms":322,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:49:38] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX669YP-0R7C9X","method":"GET","path":"api/v1/pos/discounts","status":200,"duration_ms":102,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:49:38] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX669YP-T4NCQ0","method":"GET","path":"api/v1/payment-methods","status":200,"duration_ms":106,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:49:39] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX669YP-9CNQH7","method":"GET","path":"api/v1/taxes/default","status":200,"duration_ms":84,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:49:40] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX66CTG-0S9TCM","method":"GET","path":"api/v1/dashboard/summary","status":200,"duration_ms":224,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:49:44] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX66FUP-BMAXK6","method":"GET","path":"api/v1/sales","status":200,"duration_ms":130,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:49:46] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX66H9B-2PHC0N","method":"GET","path":"api/v1/sales/01km1yptqrmky9rzs955g41g2d","status":200,"duration_ms":108,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:49:47] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX66HX9-ACV2XD","method":"GET","path":"api/v1/payment-methods/01kg6rtz73e4v9qsw7931v26mq","status":200,"duration_ms":117,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:50:05] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX66WA3-57JNQH","method":"GET","path":"api/v1/sales","status":200,"duration_ms":145,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:50:07] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX66XMP-4FZ0T5","method":"GET","path":"api/v1/sales/01km2gvj52nvjs3c2y635kgjnz","status":200,"duration_ms":121,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:50:08] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX66YBM-E292HV","method":"GET","path":"api/v1/payment-methods/01kg6rtz73e4v9qsw7931v26mq","status":200,"duration_ms":115,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:50:12] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX671EM-TR0VT9","method":"GET","path":"api/v1/outlet","status":200,"duration_ms":107,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:50:13] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX6723E-FA36DN","method":"GET","path":"api/v1/categories","status":200,"duration_ms":133,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:50:14] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX6723E-KVBH5T","method":"GET","path":"api/v1/products","status":200,"duration_ms":351,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:50:14] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX6723E-8RJ7RJ","method":"GET","path":"api/v1/pos/discounts","status":200,"duration_ms":92,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:50:15] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX6723E-AJBF4P","method":"GET","path":"api/v1/payment-methods","status":200,"duration_ms":127,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:50:15] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX6723E-P9A27X","method":"GET","path":"api/v1/taxes/default","status":200,"duration_ms":60,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:50:24] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX67ASW-KS8P1M","method":"POST","path":"api/v1/pos/checkout","status":201,"duration_ms":173,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:51:37] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX68V5Z-Y4CAB3","method":"GET","path":"api/v1/outlet","status":200,"duration_ms":117,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:51:39] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX68VWY-4JFZTR","method":"GET","path":"api/v1/categories","status":200,"duration_ms":109,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:51:39] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX68VWY-NJGQ94","method":"GET","path":"api/v1/products","status":200,"duration_ms":329,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:51:40] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX68VWY-ERA2QZ","method":"GET","path":"api/v1/pos/discounts","status":200,"duration_ms":96,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:51:40] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX68VWY-TPVZYM","method":"GET","path":"api/v1/payment-methods","status":200,"duration_ms":113,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:51:40] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX68VWY-711G45","method":"GET","path":"api/v1/taxes/default","status":200,"duration_ms":61,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:51:57] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX69ARR-05VBXY","method":"GET","path":"api/v1/sales","status":200,"duration_ms":125,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:51:59] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX69CHI-0F6Y4Y","method":"GET","path":"api/v1/sales/01km2h600bd4j6ztf7c0ps9zpw","status":200,"duration_ms":119,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:52:00] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX69D63-XBEHJ6","method":"GET","path":"api/v1/payment-methods/01kg6rtz73e4v9qsw7931v26mq","status":200,"duration_ms":103,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:52:01] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX69DLT-WNEDWM","method":"GET","path":"api/v1/sales/01km2h600bd4j6ztf7c0ps9zpw","status":200,"duration_ms":131,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:52:03] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX69F15-WCFFCX","method":"GET","path":"api/v1/outlet","status":200,"duration_ms":81,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:52:04] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX69FQ7-E2C79F","method":"GET","path":"api/v1/categories","status":200,"duration_ms":123,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:52:05] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX69FQ7-QXT2H3","method":"GET","path":"api/v1/products","status":200,"duration_ms":355,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:52:05] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX69FQ7-MWAKS1","method":"GET","path":"api/v1/pos/discounts","status":200,"duration_ms":104,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:52:06] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX69FQ7-6EEZ67","method":"GET","path":"api/v1/payment-methods","status":200,"duration_ms":121,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:52:06] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX69FQ7-TJDM5J","method":"GET","path":"api/v1/taxes/default","status":200,"duration_ms":76,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:52:07] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX69HIJ-TGR9QB","method":"GET","path":"api/v1/sales","status":200,"duration_ms":120,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:52:08] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX69JEY-WF615D","method":"GET","path":"api/v1/sales/01km2h600bd4j6ztf7c0ps9zpw","status":200,"duration_ms":118,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:52:09] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX69K2T-99TDZB","method":"GET","path":"api/v1/payment-methods/01kg6rtz73e4v9qsw7931v26mq","status":200,"duration_ms":102,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:52:11] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX69LKD-TR5JC5","method":"GET","path":"api/v1/sales/01km2h600bd4j6ztf7c0ps9zpw","status":200,"duration_ms":118,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:52:14] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX69NDZ-0W1D4H","method":"GET","path":"api/v1/outlet","status":200,"duration_ms":90,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:52:15] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX69O25-M8R3R7","method":"GET","path":"api/v1/categories","status":200,"duration_ms":114,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:52:16] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX69O25-HYP21P","method":"GET","path":"api/v1/products","status":200,"duration_ms":264,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:52:16] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX69O25-MDEN0Z","method":"GET","path":"api/v1/pos/discounts","status":200,"duration_ms":100,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:52:16] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX69O25-90EQW7","method":"GET","path":"api/v1/payment-methods","status":200,"duration_ms":91,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 07:52:17] production.INFO: api_request {"request_id":"MMX5SGQ4-AG21PC-MMX69O25-FSNVC2","method":"GET","path":"api/v1/taxes/default","status":200,"duration_ms":65,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 12:14:30] production.INFO: api_request {"request_id":"MMXFMT8T-RZ5SAN-MMXFMT8T-9A13SN","method":"GET","path":"api/v1/outlet","status":401,"duration_ms":3078,"user_id":null,"ip":"127.0.0.1"} 
[2026-03-19 12:14:31] production.INFO: api_request {"request_id":"MMXFMT8T-RZ5SAN-MMXFMXG1-XMTHF9","method":"GET","path":"api/v1/outlet","status":401,"duration_ms":69,"user_id":null,"ip":"127.0.0.1"} 
[2026-03-19 12:14:41] production.INFO: api_request {"request_id":"MMXFMT8T-RZ5SAN-MMXFN3F5-DHTDGX","method":"POST","path":"api/v1/auth/login","status":200,"duration_ms":3197,"user_id":null,"ip":"127.0.0.1"} 
[2026-03-19 12:14:42] production.INFO: api_request {"request_id":"MMXFMT8T-RZ5SAN-MMXFN6K9-ZHPBMY","method":"GET","path":"api/v1/outlet","status":200,"duration_ms":585,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 12:14:44] production.INFO: api_request {"request_id":"MMXFMT8T-RZ5SAN-MMXFN7OO-FZZ6CD","method":"GET","path":"api/v1/categories","status":200,"duration_ms":664,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 12:14:45] production.INFO: api_request {"request_id":"MMXFMT8T-RZ5SAN-MMXFN7OO-QD59ZH","method":"GET","path":"api/v1/taxes/default","status":200,"duration_ms":168,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
[2026-03-19 12:14:46] production.INFO: api_request {"request_id":"MMXFMT8T-RZ5SAN-MMXFN7OO-20WXQE","method":"GET","path":"api/v1/payment-methods","status":200,"duration_ms":335,"user_id":"01kg6rt93yzvexzaa8t8z6f7hy","ip":"127.0.0.1"} 
